"Subject" "Activity" "variable" "avg"
"1" "1" "STANDING" "tBodyAcc-mean-X" 0.278917629056604
"2" "1" "SITTING" "tBodyAcc-mean-X" 0.261237565425532
"3" "1" "LAYING" "tBodyAcc-mean-X" 0.22159824394
"4" "1" "WALKING" "tBodyAcc-mean-X" 0.277330758736842
"5" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.289188320408163
"6" "1" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.255461689622641
"7" "3" "STANDING" "tBodyAcc-mean-X" 0.280046513278689
"8" "3" "SITTING" "tBodyAcc-mean-X" 0.257197599134615
"9" "3" "LAYING" "tBodyAcc-mean-X" 0.275516852741935
"10" "3" "WALKING" "tBodyAcc-mean-X" 0.275567462068966
"11" "3" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.292423484693878
"12" "3" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.260819873067797
"13" "5" "STANDING" "tBodyAcc-mean-X" 0.282544390892857
"14" "5" "SITTING" "tBodyAcc-mean-X" 0.273694139545455
"15" "5" "LAYING" "tBodyAcc-mean-X" 0.278334325576923
"16" "5" "WALKING" "tBodyAcc-mean-X" 0.27784234625
"17" "5" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.29354392712766
"18" "5" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.268459469914894
"19" "6" "STANDING" "tBodyAcc-mean-X" 0.280346248596491
"20" "6" "SITTING" "tBodyAcc-mean-X" 0.276778487454545
"21" "6" "LAYING" "tBodyAcc-mean-X" 0.248656520140351
"22" "6" "WALKING" "tBodyAcc-mean-X" 0.283658868070175
"23" "6" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.277045258145833
"24" "6" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.268229355098039
"25" "7" "STANDING" "tBodyAcc-mean-X" 0.282723539433962
"26" "7" "SITTING" "tBodyAcc-mean-X" 0.284674637291667
"27" "7" "LAYING" "tBodyAcc-mean-X" 0.250176694038462
"28" "7" "WALKING" "tBodyAcc-mean-X" 0.275592961754386
"29" "7" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.28030708
"30" "7" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.248706923078431
"31" "8" "STANDING" "tBodyAcc-mean-X" 0.279620986111111
"32" "8" "SITTING" "tBodyAcc-mean-X" 0.267491472934783
"33" "8" "LAYING" "tBodyAcc-mean-X" 0.261254282907407
"34" "8" "WALKING" "tBodyAcc-mean-X" 0.27468631
"35" "8" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.283484089210526
"36" "8" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.258880152048781
"37" "11" "STANDING" "tBodyAcc-mean-X" 0.277715562765957
"38" "11" "SITTING" "tBodyAcc-mean-X" 0.276590197358491
"39" "11" "LAYING" "tBodyAcc-mean-X" 0.280592970877193
"40" "11" "WALKING" "tBodyAcc-mean-X" 0.271821892881356
"41" "11" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.291605631956522
"42" "11" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.263775859277778
"43" "14" "STANDING" "tBodyAcc-mean-X" 0.280545613833333
"44" "14" "SITTING" "tBodyAcc-mean-X" 0.279990577037037
"45" "14" "LAYING" "tBodyAcc-mean-X" 0.233275439803922
"46" "14" "WALKING" "tBodyAcc-mean-X" 0.271959598644068
"47" "14" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.293422115555556
"48" "14" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.26242106612963
"49" "15" "STANDING" "tBodyAcc-mean-X" 0.278915803962264
"50" "15" "SITTING" "tBodyAcc-mean-X" 0.27290337979661
"51" "15" "LAYING" "tBodyAcc-mean-X" 0.2894756525
"52" "15" "WALKING" "tBodyAcc-mean-X" 0.273899207962963
"53" "15" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.280198851190476
"54" "15" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.270187595833333
"55" "16" "STANDING" "tBodyAcc-mean-X" 0.283497402948718
"56" "16" "SITTING" "tBodyAcc-mean-X" 0.280768574492754
"57" "16" "LAYING" "tBodyAcc-mean-X" 0.274227162571429
"58" "16" "WALKING" "tBodyAcc-mean-X" 0.276023564509804
"59" "16" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.295586802191489
"60" "16" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.255986102627451
"61" "17" "STANDING" "tBodyAcc-mean-X" 0.277942503333333
"62" "17" "SITTING" "tBodyAcc-mean-X" 0.2773570196875
"63" "17" "LAYING" "tBodyAcc-mean-X" 0.269780085577465
"64" "17" "WALKING" "tBodyAcc-mean-X" 0.272341855245902
"65" "17" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.29391828326087
"66" "17" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.252604768583333
"67" "19" "STANDING" "tBodyAcc-mean-X" 0.27817226
"68" "19" "SITTING" "tBodyAcc-mean-X" 0.273830316164384
"69" "19" "LAYING" "tBodyAcc-mean-X" 0.272653733493976
"70" "19" "WALKING" "tBodyAcc-mean-X" 0.273931172307692
"71" "19" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.262688053871795
"72" "19" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.242118808925
"73" "21" "STANDING" "tBodyAcc-mean-X" 0.27695224258427
"74" "21" "SITTING" "tBodyAcc-mean-X" 0.277539616823529
"75" "21" "LAYING" "tBodyAcc-mean-X" 0.271325472455556
"76" "21" "WALKING" "tBodyAcc-mean-X" 0.279183526730769
"77" "21" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.3014610196
"78" "21" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.265194544680851
"79" "22" "STANDING" "tBodyAcc-mean-X" 0.279053861587302
"80" "22" "SITTING" "tBodyAcc-mean-X" 0.273583822709677
"81" "22" "LAYING" "tBodyAcc-mean-X" 0.279959721194444
"82" "22" "WALKING" "tBodyAcc-mean-X" 0.27886459
"83" "22" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.284458963861111
"84" "22" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.248391534566667
"85" "23" "STANDING" "tBodyAcc-mean-X" 0.277899323235294
"86" "23" "SITTING" "tBodyAcc-mean-X" 0.273351251617647
"87" "23" "LAYING" "tBodyAcc-mean-X" 0.274038007986111
"88" "23" "WALKING" "tBodyAcc-mean-X" 0.273211884237288
"89" "23" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.289897411148148
"90" "23" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.249995171031373
"91" "25" "STANDING" "tBodyAcc-mean-X" 0.278013701621622
"92" "25" "SITTING" "tBodyAcc-mean-X" 0.278541482461538
"93" "25" "LAYING" "tBodyAcc-mean-X" 0.250791828613699
"94" "25" "WALKING" "tBodyAcc-mean-X" 0.278992759054054
"95" "25" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.291329666206897
"96" "25" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.277995411384615
"97" "26" "STANDING" "tBodyAcc-mean-X" 0.281127035405405
"98" "26" "SITTING" "tBodyAcc-mean-X" 0.258243530166667
"99" "26" "LAYING" "tBodyAcc-mean-X" 0.271645864540789
